timestamp,aerosol_optical_depth,alder_pollen,ammonia,apparent_temperature,birch_pollen,carbon_monoxide,cloud_cover,cloud_cover_high,cloud_cover_low,cloud_cover_mid,dew_point_2m,diffuse_radiation,direct_radiation,dust,et0_fao_evapotranspiration,european_aqi,european_aqi_nitrogen_dioxide,european_aqi_ozone,european_aqi_pm10,european_aqi_pm2_5,european_aqi_sulphur_dioxide,grass_pollen,is_day,mugwort_pollen,nitrogen_dioxide,olive_pollen,ozone,pm10,pm2_5,precipitation,ragweed_pollen,rain,relative_humidity_2m,shortwave_radiation,snow_depth,snowfall,sulphur_dioxide,sunshine_duration,surface_pressure,temperature_2m,terrestrial_radiation,vapour_pressure_deficit,visibility,weather_code,wind_direction_10m,wind_direction_80m,wind_gusts_10m,wind_speed_10m,wind_speed_80m
2024-05-01 00:00:00+00:00,0.35,0.0,0.0,13.7,0.0,967.0,37.0,36.0,0.0,2.0,7.8,0.0,0.0,6.0,0.04,31.0,31.0,2.0,29.0,30.0,1.0,0.0,0.0,0.0,67.8,0.0,6.0,36.6,24.2,0.0,0.0,0.0,60.0,0.0,0.0,0.0,4.5,0.0,948.2,15.6,0.0,0.71,0.0,1.0,313.0,0.0,22.3,9.4,0.0
2024-05-01 01:00:00+00:00,0.35,0.0,0.0,11.5,0.0,951.0,62.0,60.0,0.0,4.0,8.5,0.0,0.0,6.0,0.03,31.0,29.0,2.0,30.0,31.0,1.0,0.0,0.0,0.0,63.1,0.0,6.0,34.5,22.8,0.0,0.0,0.0,71.0,0.0,0.0,0.0,3.9,0.0,947.4,13.6,0.0,0.45,0.0,2.0,347.0,0.0,15.8,11.4,0.0
2024-05-01 02:00:00+00:00,0.35,0.0,0.0,12.9,0.0,913.0,99.0,99.0,0.0,2.0,8.2,0.0,0.0,6.0,0.01,31.0,27.0,3.0,30.0,31.0,1.0,0.0,0.0,0.0,57.2,0.0,7.0,32.1,21.2,0.0,0.0,0.0,67.0,0.0,0.0,0.0,3.3,0.0,947.3,14.3,0.0,0.54,0.0,3.0,34.0,0.0,13.0,6.5,0.0
2024-05-01 03:00:00+00:00,0.33,0.0,0.0,11.0,0.0,842.0,64.0,64.0,0.0,3.0,8.8,0.0,0.0,5.0,0.01,32.0,24.0,2.0,31.0,32.0,1.0,0.0,0.0,0.0,50.0,0.0,6.0,28.3,18.7,0.0,0.0,0.0,78.0,0.0,0.0,0.0,2.7,0.0,947.0,12.5,0.0,0.32,0.0,2.0,21.0,0.0,10.1,8.1,0.0
2024-05-01 04:00:00+00:00,0.29,0.0,0.0,11.7,0.0,748.0,16.0,16.0,0.0,0.0,8.6,0.0,0.0,3.0,0.0,33.0,21.0,2.0,31.0,33.0,0.0,0.0,0.0,0.0,41.6,0.0,5.0,25.0,16.3,0.0,0.0,0.0,76.0,0.0,0.0,0.0,2.1,0.0,947.0,12.6,0.0,0.35,0.0,0.0,323.0,0.0,10.1,3.6,0.0
2024-05-01 05:00:00+00:00,0.26,0.0,0.0,10.7,0.0,535.0,1.0,0.0,0.0,0.0,8.4,0.0,0.0,8.0,0.0,34.0,13.0,11.0,32.0,34.0,0.0,0.0,0.0,0.0,25.9,0.0,27.0,25.7,16.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,2.3,0.0,947.3,11.9,0.0,0.3,0.0,0.0,292.0,0.0,9.0,5.8,0.0
2024-05-01 06:00:00+00:00,0.22,0.0,0.0,12.7,0.0,531.0,46.0,46.0,0.0,0.0,8.5,13.0,2.0,19.0,0.06,35.0,13.0,18.0,33.0,35.0,1.0,0.0,1.0,0.0,25.3,0.0,46.0,25.6,15.5,0.0,0.0,0.0,65.0,15.0,0.0,0.0,3.6,0.0,947.4,15.1,52.1,0.61,0.0,1.0,320.0,0.0,23.0,13.6,0.0
2024-05-01 07:00:00+00:00,0.2,0.0,0.0,15.4,0.0,524.0,34.0,34.0,0.0,0.0,10.4,84.0,47.0,35.0,0.11,36.0,12.0,29.0,33.0,36.0,1.0,0.0,1.0,0.0,24.3,0.0,72.0,34.5,19.5,0.0,0.0,0.0,65.0,131.0,0.0,0.0,5.5,3600.0,948.6,17.0,313.2,0.68,0.0,1.0,311.0,0.0,22.0,12.0,0.0
2024-05-01 08:00:00+00:00,0.19,0.0,0.0,18.9,0.0,498.0,0.0,0.0,0.0,0.0,11.6,141.0,177.0,45.0,0.21,39.0,11.0,39.0,34.0,37.0,1.0,0.0,1.0,0.0,22.1,0.0,97.0,46.9,21.9,0.0,0.0,0.0,59.0,318.0,0.0,0.0,7.4,3600.0,949.5,19.8,587.4,0.94,0.0,0.0,313.0,0.0,19.4,9.4,0.0
2024-05-01 09:00:00+00:00,0.18,0.0,0.0,20.9,0.0,438.0,1.0,1.0,0.0,0.0,10.8,166.0,360.0,44.0,0.36,52.0,9.0,52.0,36.0,38.0,2.0,0.0,1.0,0.0,17.5,0.0,118.0,47.1,22.5,0.0,0.0,0.0,48.0,526.0,0.0,0.0,9.4,3600.0,950.3,22.1,834.8,1.38,0.0,0.0,316.0,0.0,21.2,9.9,0.0
