feature,importance,share,cumulative_share
european_aqi_rolling_std_168h,0.5157008041399799,0.14050636119366952,0.14050636119366952
wind_speed_10m_rolling_std_168h,0.39131558672480865,0.10661672180395607,0.2471230829976256
pm10_rolling_mean_168h,0.16282593948552915,0.04436308821198269,0.2914861712096083
hour_sin,0.1345719772440468,0.03666509473982891,0.3281512659494372
day_of_week_cos,0.12380221081506448,0.033730795084497556,0.3618820610339348
hour_of_day,0.09074287113528001,0.024723542265455655,0.3866056032993904
pm2_5_rolling_min_48h,0.09013222548555647,0.02455716750409672,0.4111627708034871
pm10_rolling_mean_48h,0.0815540907271604,0.022219993524426114,0.43338276432791323
pm10_rolling_min_24h,0.07900333609724867,0.021525022237839718,0.4549077865657529
european_aqi_rolling_std_48h,0.07650338967939589,0.020843894010906996,0.4757516805766599
pm2_5_rolling_min_24h,0.07578084332786758,0.02064703110545485,0.49639871168211475
daylight_hours,0.07528322257553341,0.020511450783292015,0.5169101624654068
wind_speed_10m_rolling_mean_168h,0.0682564815462932,0.01859696508704553,0.5355071275524523
pm10_rolling_mean_24h,0.0681441876511137,0.01856636981461378,0.5540734973670661
pm10_rolling_std_48h,0.0678877781840832,0.018496509227042768,0.5725700065941088
hour_cos,0.06659763268748335,0.018144999887358973,0.5907150064814678
pollutant_composite_index,0.06032452863840163,0.016435847960020695,0.6071508544414885
european_aqi_rolling_std_24h,0.05889672449525847,0.016046832540537587,0.6231976869820262
pm2_5_rolling_mean_12h,0.05446504580072897,0.014839390080977578,0.6380370770630037
european_aqi_rolling_mean_168h,0.048347505110716324,0.01317262250003238,0.6512096995630361
european_aqi_rolling_mean_3h,0.047381723123248065,0.012909488311223318,0.6641191878742594
pm2_5_rolling_min_12h,0.04639113170072662,0.012639594614935091,0.6767587824891945
european_aqi_rolling_min_24h,0.045311229328043365,0.012345367513460671,0.6891041500026552
wind_speed_10m_rolling_min_48h,0.04246760936685305,0.011570602979147316,0.7006747529818026
day_of_week_sin,0.04101646513313213,0.011175228385564255,0.7118499813673669
precipitation_cumulative_72h,0.03750789816889792,0.010219294298994444,0.7220692756663614
oxidant_index,0.03595484222493397,0.009796153133293753,0.7318654287996551
epa_pm25_subindex,0.035156972477255265,0.009578767831481394,0.7414441966311365
pm10_rolling_std_168h,0.034575413191821266,0.009420317857467893,0.7508645144886044
pm10_rolling_min_12h,0.028488744680696954,0.007761961621788976,0.7586264761103934
pm10_rolling_std_24h,0.028208186849062143,0.007685521640096232,0.7663119977504896
nitrogen_dioxide_lag_6h,0.02774888352076559,0.007560381173327495,0.7738723789238171
wind_speed_10m_rolling_mean_24h,0.026696458395750255,0.007273640443901447,0.7811460193677185
relative_humidity_2m_rolling_std_24h,0.02618243911821736,0.007133592226621681,0.7882796115943402
european_aqi_rolling_std_12h,0.02293876888498403,0.006249831143208423,0.7945294427375487
pressure_change_6h,0.022442746673495863,0.0061146863548971735,0.8006441290924459
wind_speed_10m_rolling_min_168h,0.021836447497504706,0.005949495821298327,0.8065936249137442
pm2_5_rolling_min_6h,0.0215084281778374,0.005860124618776086,0.8124537495325203
pm2_5_rolling_mean_6h,0.021096882275199392,0.0057479960031531895,0.8182017455356735
epa_pm10_subindex,0.020703066065544107,0.005640697968801613,0.8238424435044751
pm10_lag_48h,0.020083263805833695,0.0054718284237623045,0.8293142719282374
nitrogen_dioxide_lag_1h,0.01906852450589298,0.005195355466089389,0.8345096273943268
european_aqi_lag_2h,0.017432333565329826,0.004749563577787088,0.8392591909721139
pm2_5_lag_6h,0.016523261380576314,0.004501880379086036,0.8437610713511999
pm2_5_rolling_mean_3h,0.015262464195472347,0.004158367196131807,0.8479194385473318
wind_speed_10m_rolling_mean_48h,0.014574638801137496,0.003970964263038148,0.8518904028103699
relative_humidity_2m_rolling_min_24h,0.014358678691056781,0.003912124391184489,0.8558025272015544
epa_no2_subindex,0.01429239154654951,0.003894063986015705,0.85969659118757
wind_speed_10m_rolling_mean_12h,0.013959610316454273,0.0038033953670434852,0.8634999865546135
pm10_rolling_min_48h,0.013556047024389528,0.0036934416705897487,0.8671934282252032
european_aqi_lag_6h,0.013543481098641763,0.003690017994520845,0.870883446219724
solar_radiation_category,0.01348330930965389,0.0036736237615676917,0.8745570699812917
european_aqi_lag_3h,0.013433386454116913,0.00366002192361129,0.8782170919049029
epa_o3_subindex,0.013371978121544715,0.0036432907855416504,0.8818603826904445
pm2_5_rolling_min_3h,0.013239858100882884,0.0036072937438558525,0.8854676764343004
wind_speed_10m_rolling_mean_6h,0.012782079637381117,0.0034825687373732112,0.8889502451716735
pm2_5_rolling_std_6h,0.01246868804555561,0.003397182963601679,0.8923474281352752
pm10_lag_24h,0.012081904806435517,0.0032918011122196633,0.895639229247495
nitrogen_dioxide_lag_24h,0.012065100646677962,0.003287222699074877,0.8989264519465698
pm2_5_24h_average,0.01205125866191068,0.0032834513516274122,0.9022099032981973
european_aqi_rolling_min_3h,0.012024422683742842,0.0032761396980267865,0.905486042996224
pm2_5_rolling_std_12h,0.011845223002625716,0.003227315467157449,0.9087133584633815
day_of_week,0.011656120720621032,0.0031757932020676995,0.9118891516654493
wind_speed_10m_rolling_min_6h,0.011638789996732868,0.0031710713227709646,0.9150602229882202
pm2_5_rolling_mean_168h,0.011294041867059689,0.0030771422366810512,0.9181373652249013
pm10_rolling_mean_12h,0.010954033818040897,0.002984504619363662,0.9211218698442649
european_aqi_lag_1h,0.010776036029566427,0.0029360078527146814,0.9240578776969796
pm10_rolling_min_3h,0.010570897956801417,0.0028801165220921484,0.9269379942190717
pm2_5_lag_48h,0.010165338915446399,0.0027696190695139684,0.9297076132885858
european_aqi_rolling_min_6h,0.00987906015641613,0.002691620380360356,0.9323992336689461
is_day,0.00930165060521162,0.002534301031026563,0.9349335346999726
pm10_rolling_mean_6h,0.009283366041033502,0.0025293192711416546,0.9374628539711143
european_aqi_rolling_min_12h,0.008479533787219395,0.0023103094420181976,0.9397731634131324
relative_humidity_2m_rolling_std_12h,0.008187225313233881,0.0022306679140313016,0.9420038313271637
european_aqi_rolling_mean_6h,0.008039469844585766,0.002190410883056076,0.9441942422102197
co_no2_ratio,0.007923502266951488,0.0021588146896450336,0.9463530568998648
aqi_change_rate_1h,0.007771296382473025,0.002117345111143993,0.9484704020110089
pm2_5_rolling_mean_24h,0.007723163336241612,0.0021042309194947845,0.9505746329305036
atmospheric_stability_index,0.0076596727949215905,0.00208693246880501,0.9526615653993086
wind_speed_10m_rolling_mean_3h,0.007188895000521711,0.0019586657019299404,0.9546202311012385
wind_speed_10m_rolling_min_3h,0.00702112675047104,0.001912956045964287,0.9565331871472028
hour_traffic_weight,0.006871015571005046,0.0018720571847797855,0.9584052443319826
relative_humidity_2m_rolling_mean_24h,0.006758845893860155,0.0018414957564372783,0.9602467400884199
wind_direction_cos,0.006690560244211241,0.0018228908442926965,0.9620696309327126
fog_risk_index,0.006657247371065722,0.0018138145144731433,0.9638834454471857
european_aqi_rolling_min_168h,0.006421694113326026,0.0017496363498346107,0.9656330817970203
pm2_5_lag_1h,0.006271133492254677,0.0017086150350800733,0.9673416968321004
absolute_humidity,0.006146870132946703,0.0016747585968005516,0.9690164554289009
european_aqi_rolling_mean_12h,0.0058511277949513385,0.0015941814880796627,0.9706106369169806
pm2_5_lag_24h,0.00508126016745365,0.0013844255635743713,0.9719950624805549
humidity_temp_interaction,0.005002273942172053,0.0013629052033002614,0.9733579676838552
pressure_change_3h,0.004985757955157055,0.0013584053048739458,0.9747163729887292
aqi_change_rate_3h,0.0049699390481620755,0.0013540953308694794,0.9760704683195986
wind_speed_10m_rolling_min_24h,0.004667330685404636,0.0012716475247452896,0.9773421158443439
wind_direction_quadrant,0.004338990800737008,0.0011821889820029846,0.9785243048263469
secondary_aerosol_proxy,0.0043382647176223085,0.0011819911554811883,0.9797062959818281
pm10_rolling_mean_3h,0.004326497183716071,0.0011787850069622892,0.9808850809887905
wind_speed_10m_rolling_min_12h,0.004251630888760616,0.0011583871510819097,0.9820434681398724
temperature_2m_lag_3h,0.003943849688648271,0.001074529968536451,0.9831179981084088
aqi_change_rate_6h,0.003929976052949513,0.0010707499975670244,0.9841887481059759
is_weekend,0.003582792900716214,0.0009761574722181446,0.985164905578194
relative_humidity_2m_rolling_std_6h,0.003094339795995893,0.0008430749410158591,0.9860079805192099
precipitation_cumulative_24h,0.0030861332275890162,0.0008408390029380425,0.986848819522148
wind_direction_sin,0.0030038152309138865,0.0008184108777912072,0.9876672303999392
european_aqi_rolling_std_6h,0.002889605418291552,0.0007872935999910755,0.9884545239999303
pm10_lag_1h,0.002803027905098787,0.0007637049391973445,0.9892182289391276
pm10_rolling_std_6h,0.002786810475231505,0.0007592863847947284,0.9899775153239223
relative_humidity_2m_rolling_mean_6h,0.002462224134987423,0.0006708505219945474,0.9906483658459169
weekend_traffic_factor,0.002335310261275225,0.0006362719321666101,0.9912846377780835
cloud_radiation_interaction,0.0021797876298911946,0.0005938986823217191,0.9918785364604052
relative_humidity_2m_rolling_std_3h,0.002132495934430523,0.0005810137226890897,0.9924595501830943
wind_beaufort_scale,0.002087112514701772,0.0005686486863862165,0.9930281988694805
temperature_2m_lag_1h,0.0020326383454168707,0.0005538068105469229,0.9935820056800274
is_evening_rush,0.0019567580848999454,0.000533132692519434,0.9941151383725468
is_morning_rush,0.0015901692115072308,0.00043325294007189665,0.9945483913126187
wind_speed_10m_lag_24h,0.0015871109374138825,0.00043241969148872676,0.9949808110041075
wind_speed_10m_lag_3h,0.0015745028314462673,0.00042898452311816715,0.9954097955272256
pressure_change_1h,0.0013857426268785388,0.0003775554594652333,0.9957873509866909
european_aqi_rolling_std_3h,0.001316696008452567,0.00035874321595139974,0.9961460942026423
temperature_2m_lag_6h,0.001308828835120579,0.0003565997484817282,0.996502693951124
high_pm25_flag,0.0012453177232714552,0.00033929569320462547,0.9968419896443287
wind_speed_10m_lag_1h,0.0012023145166168091,0.00032757916292544515,0.9971695688072542
pm10_rolling_min_6h,0.0011289494770693408,0.0003075903347853859,0.9974771591420395
dust_aqi_ratio,0.0010621056414088059,0.0002893782551425159,0.997766537397182
pm10_rolling_std_3h,0.0010395027473379058,0.0002832199354872956,0.9980497573326693
apparent_temperature,0.0009784018269208162,0.0002665725540512586,0.9983163298867206
dominant_pollutant_pm25,0.0007341843300892493,0.0002000337556934498,0.998516363642414
wind_direction_change_3h,0.0007210660897030152,0.00019645959756312183,0.9987128232399771
dominant_pollutant_o3,0.0007208363438763854,0.00019639700167449795,0.9989092202416516
wind_gust_ratio,0.00071161452456181,0.00019388445124782694,0.9991031046928994
relative_humidity_2m_rolling_min_6h,0.0006426506130033261,0.00017509474180976597,0.9992781994347092
relative_humidity_2m_rolling_mean_3h,0.0006306911785266322,0.00017183630861213563,0.9994500357433214
wind_speed_10m_rolling_std_3h,0.0006055602430528495,0.00016498920605098534,0.9996150249493724
wind_chill,0.0004003937278092451,0.00010909012607235564,0.9997241150754448
aqi_trend_slope_6h,0.0003555406641410741,9.686958905978962e-05,0.9998209846645045
cloud_cover_category,0.00034675026192587666,9.447458129798105e-05,0.9999154592458025
relative_humidity_2m_rolling_min_12h,0.0001329639039873598,3.6226963714986416e-05,0.9999516862095175
pm10_lag_6h,0.00012955345648322237,3.529776297494198e-05,0.9999869839724924
relative_humidity_2m_rolling_mean_48h,4.777275416785187e-05,1.3016027507497533e-05,0.9999999999999999
pm10_lag_168h,0.0,0.0,0.9999999999999999
european_aqi_rolling_mean_48h,0.0,0.0,0.9999999999999999
european_aqi_rolling_mean_24h,0.0,0.0,0.9999999999999999
wind_speed_10m_lag_6h,0.0,0.0,0.9999999999999999
quarter,0.0,0.0,0.9999999999999999
month_sin,0.0,0.0,0.9999999999999999
month_cos,0.0,0.0,0.9999999999999999
month,0.0,0.0,0.9999999999999999
day_of_month,0.0,0.0,0.9999999999999999
pm2_5_lag_168h,0.0,0.0,0.9999999999999999
season,0.0,0.0,0.9999999999999999
days_since_last_rain,0.0,0.0,0.9999999999999999
day_of_year_sin,0.0,0.0,0.9999999999999999
day_of_year_cos,0.0,0.0,0.9999999999999999
is_pakistan_public_holiday,0.0,0.0,0.9999999999999999
european_aqi_lag_12h,0.0,0.0,0.9999999999999999
european_aqi_lag_72h,0.0,0.0,0.9999999999999999
european_aqi_lag_48h,0.0,0.0,0.9999999999999999
european_aqi_lag_24h,0.0,0.0,0.9999999999999999
european_aqi_lag_168h,0.0,0.0,0.9999999999999999
european_aqi_rolling_min_48h,0.0,0.0,0.9999999999999999
relative_humidity_2m_rolling_min_3h,0.0,0.0,0.9999999999999999
relative_humidity_2m_rolling_mean_12h,0.0,0.0,0.9999999999999999
wind_speed_10m_rolling_std_48h,0.0,0.0,0.9999999999999999
wind_speed_10m_rolling_std_6h,0.0,0.0,0.9999999999999999
pm10_rolling_min_168h,0.0,0.0,0.9999999999999999
