feature,importance,share,cumulative_share
wind_speed_10m_rolling_min_12h,0.03146811625394301,0.19090677869699016,0.19090677869699016
relative_humidity_2m_rolling_min_6h,0.025017986964421545,0.15177595196098065,0.34268273065797084
days_since_last_rain,0.0228972897267516,0.13891037478540233,0.4815931054433732
relative_humidity_2m_rolling_mean_168h,0.015263227955478253,0.09259701654791902,0.5741901219912922
is_day,0.011140819147337134,0.06758770935954521,0.6417778313508373
pollution_accumulation_index,0.009690895100564844,0.05879149394929108,0.7005693253001284
relative_humidity_2m_rolling_min_24h,0.009481850263269554,0.05752328722953614,0.7580926125296645
wind_speed_10m_rolling_mean_168h,0.0047893296471199776,0.029055297993412686,0.7871479105230772
wind_speed_10m_rolling_mean_48h,0.004314679251353315,0.026175749140477742,0.8133236596635549
wind_speed_10m_rolling_mean_24h,0.004030533940587944,0.0244519323882349,0.8377755920517899
heat_index,0.003685808443187888,0.022360595439042202,0.8601361874908321
absolute_humidity,0.0035616561689502113,0.02160740415961027,0.8817435916504424
wind_speed_10m_rolling_mean_6h,0.002572448946971573,0.015606207180173106,0.8973497988306155
wind_speed_10m_lag_1h,0.0023347334279593566,0.014164064802959188,0.9115138636335747
dew_point_delta,0.002295277258661255,0.013924697116643363,0.925438560750218
atmospheric_stability_index,0.0019014512623410696,0.011535483484727962,0.936974044234946
apparent_temperature,0.00152934423628448,0.009278031748446184,0.9462520759833922
wind_chill,0.001216921741708532,0.0073826665619616365,0.9536347425453539
relative_humidity_2m_rolling_std_12h,0.0009649139622567304,0.005853817710842475,0.9594885602561963
relative_humidity_2m_rolling_mean_6h,0.0008541550479135296,0.0051818795694360325,0.9646704398256324
relative_humidity_2m_rolling_min_3h,0.000821943923526014,0.004986465203180215,0.9696569050288126
relative_humidity_2m_rolling_min_48h,0.000731148276013105,0.00443563767837644,0.974092542707189
wind_speed_10m_lag_3h,0.0005506648362233691,0.003340703624480115,0.9774332463316692
fog_risk_index,0.0004994090807594276,0.0030297517045641707,0.9804629980362334
wind_speed_10m_rolling_std_3h,0.00044950021196239477,0.00272697090594365,0.983189968942177
wind_gust_ratio,0.0004214261324482216,0.002556654639101258,0.9857466235812783
pressure_change_1h,0.0004104690224788321,0.0024901814332949613,0.9882368050145732
wind_direction_sin,0.00029061354529007487,0.0017630574175245808,0.9899998624320978
vapor_pressure_deficit,0.0002784509225071119,0.0016892707593953024,0.9916891331914931
mixing_height_proxy,0.00026686178210511,0.0016189632314784987,0.9933080964229716
pressure_change_3h,0.000191689514835236,0.0011629176494668129,0.9944710140724384
wind_beaufort_scale,0.00018619235152721457,0.0011295681559465526,0.995600582228385
wind_speed_10m_rolling_std_168h,0.00017094913754549522,0.001037092557637603,0.9966376747860226
temperature_2m_lag_3h,0.00013985970102741162,0.0008484831051595501,0.9974861578911821
wind_speed_10m_rolling_min_48h,0.00010231002629295105,0.0006206814983894784,0.9981068393895716
relative_humidity_2m_rolling_std_24h,9.596016098791793e-05,0.0005821589404848005,0.9986889983300564
hour_sin,9.431418541225867e-05,0.0005721733445111726,0.9992611716745676
wind_direction_quadrant,7.328367431931326e-05,0.00044458810570290877,0.9997057597802705
day_of_week_sin,2.327076225814295e-05,0.0001411761105963535,0.9998469358908669
is_morning_rush,9.998145904699385e-06,6.065548417978463e-05,0.9999075913750467
cloud_radiation_interaction,8.18391735322166e-06,4.964915238071099e-05,0.9999572405274274
pressure_change_6h,4.96146977004841e-06,3.0099615870198627e-05,0.9999873401432976
relative_humidity_2m_rolling_min_168h,1.936994448747953e-06,1.1751112382460744e-05,0.9999990912556801
prevailing_wind_from_industrial,1.4979285758442984e-07,9.087443202030665e-07,1.0000000000000002
month_sin,0.0,0.0,1.0000000000000002
season,0.0,0.0,1.0000000000000002
hour_cos,0.0,0.0,1.0000000000000002
day_of_year_sin,0.0,0.0,1.0000000000000002
day_of_year_cos,0.0,0.0,1.0000000000000002
european_aqi_lag_1h,0.0,0.0,1.0000000000000002
european_aqi_lag_2h,0.0,0.0,1.0000000000000002
european_aqi_lag_3h,0.0,0.0,1.0000000000000002
european_aqi_lag_6h,0.0,0.0,1.0000000000000002
day_of_week_cos,0.0,0.0,1.0000000000000002
month_cos,0.0,0.0,1.0000000000000002
is_weekend,0.0,0.0,1.0000000000000002
day_of_week,0.0,0.0,1.0000000000000002
hour_of_day,0.0,0.0,1.0000000000000002
european_aqi_rolling_min_24h,0.0,0.0,1.0000000000000002
european_aqi_rolling_std_24h,0.0,0.0,1.0000000000000002
european_aqi_rolling_mean_24h,0.0,0.0,1.0000000000000002
european_aqi_rolling_min_12h,0.0,0.0,1.0000000000000002
european_aqi_rolling_std_12h,0.0,0.0,1.0000000000000002
european_aqi_rolling_mean_12h,0.0,0.0,1.0000000000000002
european_aqi_rolling_min_6h,0.0,0.0,1.0000000000000002
european_aqi_rolling_std_6h,0.0,0.0,1.0000000000000002
european_aqi_rolling_mean_6h,0.0,0.0,1.0000000000000002
european_aqi_rolling_min_3h,0.0,0.0,1.0000000000000002
european_aqi_rolling_std_3h,0.0,0.0,1.0000000000000002
european_aqi_rolling_mean_3h,0.0,0.0,1.0000000000000002
temperature_2m_lag_6h,0.0,0.0,1.0000000000000002
temperature_2m_lag_1h,0.0,0.0,1.0000000000000002
wind_speed_10m_lag_24h,0.0,0.0,1.0000000000000002
wind_speed_10m_lag_6h,0.0,0.0,1.0000000000000002
pm2_5_lag_48h,0.0,0.0,1.0000000000000002
nitrogen_dioxide_lag_24h,0.0,0.0,1.0000000000000002
nitrogen_dioxide_lag_1h,0.0,0.0,1.0000000000000002
nitrogen_dioxide_lag_6h,0.0,0.0,1.0000000000000002
pm10_lag_168h,0.0,0.0,1.0000000000000002
pm10_lag_48h,0.0,0.0,1.0000000000000002
pm10_lag_6h,0.0,0.0,1.0000000000000002
pm10_lag_24h,0.0,0.0,1.0000000000000002
pm2_5_lag_6h,0.0,0.0,1.0000000000000002
pm2_5_lag_24h,0.0,0.0,1.0000000000000002
pm10_lag_1h,0.0,0.0,1.0000000000000002
pm2_5_lag_168h,0.0,0.0,1.0000000000000002
pm2_5_lag_1h,0.0,0.0,1.0000000000000002
european_aqi_lag_48h,0.0,0.0,1.0000000000000002
european_aqi_lag_72h,0.0,0.0,1.0000000000000002
european_aqi_lag_168h,0.0,0.0,1.0000000000000002
day_of_month,0.0,0.0,1.0000000000000002
month,0.0,0.0,1.0000000000000002
is_evening_rush,0.0,0.0,1.0000000000000002
european_aqi_lag_24h,0.0,0.0,1.0000000000000002
european_aqi_lag_12h,0.0,0.0,1.0000000000000002
pm10_rolling_mean_6h,0.0,0.0,1.0000000000000002
pm10_rolling_min_6h,0.0,0.0,1.0000000000000002
pm10_rolling_std_6h,0.0,0.0,1.0000000000000002
pm10_rolling_std_12h,0.0,0.0,1.0000000000000002
pm10_rolling_mean_12h,0.0,0.0,1.0000000000000002
european_aqi_rolling_mean_48h,0.0,0.0,1.0000000000000002
european_aqi_rolling_std_48h,0.0,0.0,1.0000000000000002
european_aqi_rolling_std_168h,0.0,0.0,1.0000000000000002
european_aqi_rolling_min_168h,0.0,0.0,1.0000000000000002
european_aqi_rolling_min_48h,0.0,0.0,1.0000000000000002
european_aqi_rolling_mean_168h,0.0,0.0,1.0000000000000002
pm2_5_rolling_std_24h,0.0,0.0,1.0000000000000002
pm2_5_rolling_min_24h,0.0,0.0,1.0000000000000002
pm2_5_rolling_mean_48h,0.0,0.0,1.0000000000000002
pm2_5_rolling_std_48h,0.0,0.0,1.0000000000000002
pm2_5_rolling_min_48h,0.0,0.0,1.0000000000000002
pm2_5_rolling_mean_168h,0.0,0.0,1.0000000000000002
pm2_5_rolling_mean_3h,0.0,0.0,1.0000000000000002
pm2_5_rolling_std_3h,0.0,0.0,1.0000000000000002
pm2_5_rolling_min_3h,0.0,0.0,1.0000000000000002
pm2_5_rolling_mean_6h,0.0,0.0,1.0000000000000002
pm2_5_rolling_std_6h,0.0,0.0,1.0000000000000002
pm2_5_rolling_min_6h,0.0,0.0,1.0000000000000002
pm2_5_rolling_mean_12h,0.0,0.0,1.0000000000000002
