window_days,rows,note,model,type,rows_after_prep,features_used,rmse,mae,r2,rmse_24h,rmse_48h,rmse_72h
7,169,insufficient_rows,,,,,,,,,,
30,567,,catboost,cat,495.0,17.0,50.579238871914846,45.3145917829911,0.0,64.2640677605754,51.14258899118783,20.022296367381184
30,567,,extra_trees,extra,495.0,17.0,55.02869223247062,50.03270833333333,0.0,73.3057280435847,48.61938860680994,12.415440175442836
30,567,,random_forest,rf,495.0,17.0,55.94881558023902,46.01371597222222,0.0,71.35960851034709,51.07241408407282,10.922228635905768
30,567,,xgboost,xgb,495.0,17.0,66.77390951575694,50.01531137050621,0.0,60.61358978921878,61.70205335759484,20.658814073882635
60,567,,catboost,cat,495.0,17.0,50.579238871914846,45.3145917829911,0.0,64.2640677605754,51.14258899118783,20.022296367381184
60,567,,extra_trees,extra,495.0,17.0,54.61147287593349,49.71349930555556,0.0,72.74940807233418,46.85364144866437,13.559776556049883
60,567,,random_forest,rf,495.0,17.0,55.76359599962172,45.54039861111111,0.0,73.08030983702108,48.70750227121075,10.428256667583513
60,567,,xgboost,xgb,495.0,17.0,66.77390951575694,50.01531137050621,0.0,60.61358978921878,61.70205335759484,20.658814073882635
90,567,,catboost,cat,495.0,17.0,50.579238871914846,45.3145917829911,0.0,64.2640677605754,51.14258899118783,20.022296367381184
90,567,,extra_trees,extra,495.0,17.0,54.0882949514675,48.53795416666666,0.0,73.04401081882072,43.32478104387834,11.491029691676895
90,567,,random_forest,rf,495.0,17.0,55.995484360038155,45.884931944444446,0.0,72.43867908531325,49.72451222862825,11.424288993193407
90,567,,xgboost,xgb,495.0,17.0,66.77390951575694,50.01531137050621,0.0,60.61358978921878,61.70205335759484,20.658814073882635
180,567,,catboost,cat,495.0,17.0,50.579238871914846,45.3145917829911,0.0,64.2640677605754,51.14258899118783,20.022296367381184
180,567,,extra_trees,extra,495.0,17.0,53.73475154278266,48.04915416666667,0.0,73.169602394027,44.521450974502166,9.948239838031652
180,567,,random_forest,rf,495.0,17.0,56.179825724875926,46.15968680555555,0.0,75.18157633689255,47.7903138407774,8.585138394341701
180,567,,xgboost,xgb,495.0,17.0,66.77390951575694,50.01531137050621,0.0,60.61358978921878,61.70205335759484,20.658814073882635
365,567,,catboost,cat,495.0,17.0,50.579238871914846,45.3145917829911,0.0,64.2640677605754,51.14258899118783,20.022296367381184
365,567,,extra_trees,extra,495.0,17.0,53.70515911459815,48.691475,0.0,72.54113843537334,45.055263707473735,13.506650695120534
365,567,,random_forest,rf,495.0,17.0,55.247457935046405,44.730940277777776,0.0,71.29823884571063,48.81372953253008,10.08222026638974
365,567,,xgboost,xgb,495.0,17.0,66.77390951575694,50.01531137050621,0.0,60.61358978921878,61.70205335759484,20.658814073882635
