iter	RMSE
0	13.48732394
1	13.09577289
2	12.74781273
3	12.40335251
4	12.12276725
5	11.83404299
6	11.51616616
7	11.25562826
8	10.97946757
9	10.72841403
10	10.47120429
11	10.24925395
12	10.05349455
13	9.887837788
14	9.708094979
15	9.522256528
16	9.36174245
17	9.195387778
18	9.017765432
19	8.856361204
20	8.70481079
21	8.558791544
22	8.405657121
23	8.288478001
24	8.150080386
25	8.047553901
26	7.90331987
27	7.813032566
28	7.710782353
29	7.596451649
30	7.495782761
31	7.3896496
32	7.266727913
33	7.157975743
34	7.051306261
35	6.959929456
36	6.856183135
37	6.778347769
38	6.68170548
39	6.596867842
40	6.523717837
41	6.439453337
42	6.359774613
43	6.283985688
44	6.208209394
45	6.135377353
46	6.061914256
47	5.999934916
48	5.922283183
49	5.861050932
50	5.81017189
51	5.745639068
52	5.70696901
53	5.654472958
54	5.600097466
55	5.541006498
56	5.498028238
57	5.451324495
58	5.399087543
59	5.349602826
60	5.311044278
61	5.256553207
62	5.204336718
63	5.166099881
64	5.127772101
65	5.070351733
66	5.027881963
67	5.007080653
68	4.969504414
69	4.924953011
70	4.87466287
71	4.829388526
72	4.797877129
73	4.767210574
74	4.738579586
75	4.705626627
76	4.681598853
77	4.645428261
78	4.615542402
79	4.596435357
80	4.560081802
81	4.539027256
82	4.513818224
83	4.480438996
84	4.455073989
85	4.426646415
86	4.40092162
87	4.366941975
88	4.346695985
89	4.322899292
90	4.291746625
91	4.263367945
92	4.235646556
93	4.215874277
94	4.196069438
95	4.164405211
96	4.131449204
97	4.095183461
98	4.072392169
99	4.051185229
100	4.023159676
101	3.996947363
102	3.967328525
103	3.946901658
104	3.926372399
105	3.911651783
106	3.896443988
107	3.872193383
108	3.859457263
109	3.838589281
110	3.818667865
111	3.798264439
112	3.787540424
113	3.770643509
114	3.75565852
115	3.740869115
116	3.730323467
117	3.707880967
118	3.685568407
119	3.664260486
120	3.651356698
121	3.635354776
122	3.614239712
123	3.601718253
124	3.581665015
125	3.571192858
126	3.556135004
127	3.537389337
128	3.518626605
129	3.50194689
130	3.485823087
131	3.465690398
132	3.447114698
133	3.438846346
134	3.431930037
135	3.419007293
136	3.40086465
137	3.374513004
138	3.359721522
139	3.341846897
140	3.326644095
141	3.312012905
142	3.296049458
143	3.28137199
144	3.26465374
145	3.239093914
146	3.232576057
147	3.222071894
148	3.206206402
149	3.187734844
150	3.174592139
151	3.168642181
152	3.15604272
153	3.140981785
154	3.120817248
155	3.111704296
156	3.095047771
157	3.087110089
158	3.071245144
159	3.059851887
160	3.045362
161	3.035080877
162	3.026461538
163	3.016715032
164	3.007580252
165	2.993882993
166	2.984862193
167	2.975827809
168	2.9669165
169	2.962937079
170	2.959102672
171	2.947887664
172	2.935125733
173	2.91741336
174	2.90952716
175	2.896698548
176	2.889318538
177	2.875160118
178	2.865305489
179	2.851028396
180	2.834478716
181	2.825401424
182	2.815231207
183	2.80611988
184	2.793510651
185	2.784867833
186	2.775667761
187	2.761110624
188	2.75028919
189	2.739169722
190	2.731720112
191	2.727960098
192	2.724732814
193	2.710159895
194	2.691949953
195	2.689662526
196	2.686197916
197	2.683209697
198	2.671349098
199	2.658796192
200	2.647925997
201	2.64174651
202	2.628049172
203	2.615341703
204	2.612911762
205	2.610062288
206	2.599609239
207	2.589669851
208	2.586627045
209	2.575481796
210	2.565531878
211	2.560144079
212	2.547491897
213	2.538107793
214	2.531501648
215	2.522239241
216	2.512522309
217	2.500309973
218	2.495044874
219	2.489878689
220	2.47795333
221	2.47108496
222	2.459973128
223	2.453302133
224	2.444127754
225	2.439461611
226	2.43751003
227	2.428490244
228	2.420059202
229	2.417194752
230	2.405491439
231	2.401798826
232	2.390848753
233	2.381014185
234	2.37327043
235	2.371520187
236	2.370219946
237	2.358417633
238	2.348311762
239	2.339887173
240	2.327641951
241	2.323000107
242	2.314468238
243	2.310067389
244	2.302300811
245	2.294871838
246	2.284869899
247	2.27626226
248	2.266127198
249	2.258721496
250	2.245657422
251	2.243913982
252	2.234024827
253	2.223781714
254	2.222044506
255	2.208998595
256	2.207512598
257	2.197848609
258	2.189666965
259	2.188355579
260	2.179657957
261	2.172883863
262	2.164257322
263	2.154105653
264	2.14649373
265	2.13768966
266	2.129054576
267	2.118364956
268	2.11533716
269	2.11438594
270	2.106633083
271	2.09965231
272	2.089493497
273	2.084896763
274	2.07637105
275	2.068913215
276	2.067728284
277	2.06083323
278	2.053102821
279	2.051747326
280	2.045442849
281	2.039409687
282	2.038317469
283	2.033523227
284	2.022596651
285	2.021634291
286	2.013630135
287	2.006947502
288	2.001653882
289	1.996246557
290	1.988457506
291	1.979002113
292	1.974339194
293	1.971956424
294	1.965914317
295	1.95926609
296	1.957333409
297	1.952318994
298	1.946008565
299	1.943544496
300	1.940353571
301	1.935261097
302	1.932065569
303	1.925067353
304	1.919674649
305	1.914021735
306	1.907314018
307	1.89938604
308	1.89054744
309	1.882272858
310	1.874458668
311	1.866889946
312	1.861486708
313	1.853630768
314	1.846163756
315	1.841171304
316	1.834594593
317	1.826197553
318	1.820416493
319	1.81447145
320	1.806113089
321	1.798213872
322	1.790882735
323	1.784666692
324	1.782525687
325	1.777381685
326	1.772616092
327	1.768270951
328	1.760728995
329	1.755080574
330	1.749868894
331	1.745511397
332	1.741181354
333	1.739701618
334	1.735401857
335	1.726757936
336	1.721454826
337	1.715152691
338	1.709222608
339	1.702903912
340	1.701695696
341	1.697868582
342	1.692627265
343	1.687654659
344	1.681224618
345	1.680233404
