iter	Passed	Remaining
0	15	5991
1	32	6388
2	47	6284
3	62	6170
4	76	6062
5	91	6039
6	105	5941
7	119	5839
8	131	5694
9	145	5687
10	160	5677
11	173	5621
12	186	5562
13	201	5553
14	214	5508
15	228	5484
16	242	5474
17	256	5447
18	271	5450
19	287	5462
20	300	5432
21	317	5455
22	331	5427
23	345	5406
24	358	5383
25	374	5387
26	388	5372
27	402	5350
28	417	5336
29	431	5323
30	446	5308
31	458	5268
32	471	5249
33	484	5219
34	497	5188
35	510	5165
36	525	5152
37	542	5165
38	555	5144
39	570	5135
40	583	5107
41	596	5083
42	611	5074
43	624	5052
44	638	5033
45	652	5023
46	668	5017
47	683	5015
48	698	5002
49	716	5012
50	729	4989
51	743	4974
52	759	4972
53	777	4980
54	792	4973
55	808	4966
56	822	4948
57	834	4920
58	850	4915
59	864	4899
60	880	4890
61	895	4882
62	911	4874
63	923	4850
64	937	4832
65	957	4845
66	971	4830
67	985	4809
68	999	4792
69	1013	4779
70	1029	4770
71	1045	4762
72	1062	4759
73	1076	4741
74	1089	4723
75	1104	4709
76	1118	4691
77	1133	4678
78	1147	4663
79	1161	4645
80	1175	4628
81	1190	4617
82	1204	4599
83	1219	4586
84	1232	4568
85	1248	4557
86	1263	4543
87	1277	4530
88	1290	4509
89	1304	4493
90	1316	4471
91	1331	4458
92	1345	4441
93	1357	4418
94	1371	4402
95	1384	4383
96	1397	4364
97	1410	4345
98	1422	4324
99	1435	4306
100	1449	4290
101	1464	4277
102	1477	4261
103	1491	4244
104	1504	4226
105	1517	4208
106	1534	4202
107	1549	4190
108	1563	4175
109	1577	4159
110	1592	4146
111	1606	4129
112	1620	4115
113	1636	4105
114	1650	4090
115	1665	4077
116	1679	4062
117	1694	4050
118	1707	4033
119	1724	4023
120	1738	4009
121	1753	3996
122	1769	3985
123	1784	3972
124	1798	3956
125	1812	3942
126	1828	3929
127	1842	3914
128	1855	3897
129	1868	3880
130	1881	3863
131	1894	3846
132	1908	3830
133	1921	3814
134	1939	3806
135	1952	3790
136	1966	3774
137	1979	3758
138	1992	3742
139	2008	3730
140	2023	3717
141	2038	3704
142	2054	3692
143	2067	3675
144	2081	3660
145	2095	3645
146	2112	3634
147	2128	3623
148	2148	3618
149	2164	3607
150	2180	3596
151	2193	3578
152	2208	3565
153	2222	3550
154	2236	3534
155	2252	3523
156	2266	3508
157	2281	3494
158	2296	3481
159	2310	3465
160	2325	3451
161	2339	3436
162	2354	3423
163	2368	3409
164	2383	3395
165	2396	3377
166	2409	3361
167	2422	3345
168	2435	3329
169	2449	3313
170	2464	3300
171	2477	3284
172	2490	3268
173	2506	3255
174	2522	3242
175	2533	3224
176	2547	3209
177	2561	3194
178	2574	3178
179	2588	3164
180	2604	3150
181	2618	3136
182	2631	3119
183	2647	3107
184	2660	3091
185	2675	3078
186	2691	3065
187	2705	3051
188	2721	3038
189	2737	3025
190	2752	3011
191	2764	2995
192	2779	2980
193	2793	2966
194	2807	2951
195	2819	2934
196	2833	2919
197	2846	2904
198	2859	2888
199	2872	2872
200	2886	2857
201	2899	2842
202	2912	2826
203	2927	2812
204	2940	2797
205	2953	2781
206	2966	2765
207	2979	2750
208	2993	2736
209	3009	2723
210	3025	2710
211	3038	2694
212	3052	2679
213	3064	2663
214	3080	2650
215	3094	2636
216	3107	2620
217	3122	2607
218	3137	2592
219	3151	2578
220	3165	2563
221	3180	2549
222	3194	2535
223	3208	2520
224	3222	2506
225	3236	2491
226	3252	2478
227	3265	2463
228	3280	2449
229	3294	2435
230	3309	2421
231	3323	2406
232	3336	2391
233	3351	2377
234	3365	2362
235	3380	2349
236	3393	2333
237	3407	2319
238	3420	2303
239	3433	2289
240	3446	2273
241	3457	2257
242	3471	2242
243	3486	2228
244	3501	2215
245	3517	2201
246	3531	2187
247	3544	2172
248	3556	2156
249	3570	2142
250	3584	2127
251	3599	2114
252	3615	2100
253	3630	2086
254	3642	2071
255	3657	2057
256	3673	2043
257	3687	2029
258	3702	2015
259	3715	2000
260	3730	1986
261	3744	1972
262	3760	1958
263	3774	1944
264	3788	1930
265	3803	1915
266	3816	1901
267	3830	1886
